v_idStart, v_idEnd
14,17
14,13
14,5
14,4
14,11
14,8
21,3
21,7
12,36
12,18
24,34
24,33
24,16
24,19
24,26
24,30
19,30
19,16
19,10
19,33
19,34
19,26
19,24
7,21
34,19
34,26
34,30
34,24
30,19
30,33
30,39
30,26
30,34
30,24
32,20
33,19
33,10
33,27
33,16
33,26
33,30
33,24
33,6
3,21
3,36
39,26
39,9
39,30
39,22
11,4
11,13
11,14
11,17
11,5
11,8
15,2
15,35
10,29
10,16
10,27
10,19
10,33
36,3
36,12
36,18
8,14
8,17
8,11
8,5
8,4
23,9
23,38
23,22
23,6
31,35
31,37
13,14
13,11
13,1
13,5
13,17
5,4
5,20
5,13
5,11
5,8
5,14
6,23
6,38
6,33
6,27
22,9
22,39
22,26
22,23
22,38
16,33
16,19
16,29
16,20
16,10
16,24
28,38
27,6
27,10
27,33
27,25
27,29
2,15
2,1
29,25
29,16
29,27
29,10
9,22
9,23
9,38
9,39
20,32
20,5
20,4
20,16
37,35
37,31
35,31
35,18
35,15
35,37
17,14
17,13
17,4
17,11
17,8
38,22
38,28
38,23
38,6
38,9
1,13
1,2
18,36
18,12
18,35
18,25
26,34
26,30
26,22
26,19
26,39
26,33
26,24
4,20
4,11
4,8
4,5
4,14
4,17
25,29
25,18
25,27
